,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,pennsylvania,puerto-rico,rhode-island,south-carolina,south-dakota,tennessee,texas,utah,vermont,virginia,washington,west-virginia,wisconsin,wyoming
81,357,7,187,195,2559,199,544,109,56,671,904,3,0,10,980,256,303,120,349,435,28,549,509,146,358,251,176,4,40,95,34,933,111,1171,807,48,474,67,59,517,97,75,292,42,609,1250,212,2,791,369,6,136,7
82,767,20,1127,384,2869,211,241,81,29,621,333,0,1,27,1624,408,147,109,142,413,30,848,452,216,300,268,267,4,296,142,64,543,224,1447,431,21,368,119,33,581,62,95,271,34,605,2145,213,5,841,328,34,301,2
83,554,18,973,255,2319,272,113,27,130,1325,743,2,0,57,988,477,318,99,229,394,39,807,250,330,362,302,217,2,233,105,46,682,116,1119,1199,33,431,113,64,558,88,96,239,97,651,1618,305,2,666,316,21,509,3
84,603,10,530,367,2572,300,149,34,104,1428,1031,2,2,64,935,385,284,86,301,439,32,876,425,222,403,238,218,14,211,155,81,804,213,1598,853,27,595,102,75,555,485,100,360,86,356,1953,326,36,951,363,24,518,6
85,523,11,1579,232,3633,255,223,27,79,1313,837,0,9,57,1163,484,504,127,277,465,36,912,415,370,707,209,236,2,173,176,77,693,319,1465,1220,39,371,96,96,487,112,108,455,31,227,2295,449,1,676,411,22,389,12
86,619,12,1119,461,2563,233,361,72,70,1278,798,0,9,28,981,420,355,101,316,481,41,712,422,444,521,265,230,0,172,194,66,554,128,1111,1423,71,351,56,92,594,295,98,470,92,510,1705,556,19,865,223,16,419,6
87,402,8,1438,333,2789,153,151,99,63,1187,583,0,2,28,873,401,318,84,0,338,45,491,514,430,385,236,89,4,117,189,24,362,140,1018,907,45,364,91,146,490,70,66,376,72,471,1032,278,17,1284,252,11,273,8
88,368,18,789,322,2301,182,125,30,57,972,648,0,1,22,662,226,234,155,193,240,18,431,266,288,338,498,54,3,49,137,36,978,122,1064,892,19,356,55,114,433,61,49,522,34,427,1649,266,12,570,384,9,193,13
89,796,12,618,348,3073,164,88,48,85,1103,813,1,6,31,802,411,295,125,237,577,18,500,203,297,299,341,304,6,215,244,53,303,43,768,710,21,327,159,66,524,139,45,435,53,488,1933,242,9,487,193,18,329,10
90,723,20,1556,296,2924,152,169,36,63,1379,791,0,3,40,629,305,231,160,178,428,33,561,212,184,346,374,267,7,214,134,46,530,145,830,1167,40,425,117,72,427,144,65,539,82,585,2688,307,11,439,164,13,265,10
91,804,18,1412,459,3607,148,115,50,52,1708,1074,3,7,42,771,412,388,128,63,452,29,732,211,267,447,0,297,2,198,235,31,571,117,845,1177,39,417,147,177,548,23,101,693,62,427,2236,391,15,470,285,26,406,29
92,762,14,1654,750,3660,175,230,67,65,1914,876,0,15,51,599,399,353,190,225,536,48,416,353,223,479,608,516,10,179,279,42,687,159,1050,1846,36,448,223,140,646,184,88,740,78,615,2433,327,9,564,328,23,358,18
93,707,27,1540,562,3164,195,308,56,55,2641,1101,0,18,46,677,398,371,162,285,1320,37,692,314,164,377,257,308,15,190,268,48,427,95,1052,1428,42,368,226,158,409,154,78,797,93,546,2519,407,6,658,237,28,309,23
94,444,9,1233,416,2639,113,95,35,58,1984,952,0,5,9,676,367,367,121,0,344,35,396,264,218,299,168,155,13,115,227,19,222,102,818,1419,22,345,159,0,308,121,48,853,66,540,1507,334,2,637,249,33,264,10
95,413,3,1014,427,2744,169,148,77,32,1769,793,2,8,54,476,523,209,267,206,568,11,331,215,31,222,283,105,8,27,106,27,392,122,826,850,21,419,187,285,390,79,32,592,31,607,2392,297,1,380,328,5,189,19
96,961,13,2392,281,3471,143,115,63,19,2800,718,1,4,78,627,357,156,206,186,547,9,377,69,184,189,353,430,5,218,379,19,481,88,803,793,23,450,229,278,394,61,75,622,39,712,4864,331,3,445,273,32,294,10
97,841,20,1827,426,4216,231,81,41,29,2626,1030,2,4,92,549,227,97,513,169,830,17,560,160,228,414,489,458,16,161,184,72,378,132,739,1027,42,468,260,120,316,52,51,575,85,613,3884,410,0,444,340,25,298,25
