,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,pennsylvania,puerto-rico,rhode-island,south-carolina,south-dakota,tennessee,texas,utah,vermont,virginia,washington,west-virginia,wisconsin,wyoming
155,1092,100,927,0,10380,319,115,379,94,6186,3490,25,242,542,2296,1072,554,556,624,1303,26,715,342,868,730,944,1189,134,254,1099,43,561,173,816,1210,151,1126,797,313,824,682,88,947,129,2517,9612,556,17,1216,732,113,1073,64
156,1065,84,933,872,8670,300,0,56,41,6391,3540,0,296,304,1828,1048,573,308,645,0,24,818,215,1058,690,825,1157,118,269,859,16,441,142,791,1660,122,1117,904,405,757,567,92,1058,96,1374,8919,348,8,912,459,156,858,44
157,659,102,883,690,6554,338,0,55,61,3802,2014,0,227,183,1562,741,883,339,393,1186,23,519,379,477,739,381,671,91,124,697,8,432,106,659,1402,143,616,546,244,544,311,98,625,159,1936,3344,333,6,937,522,110,686,59
158,588,50,468,423,6979,194,318,87,53,2694,1980,56,181,282,1773,593,621,732,383,570,25,503,319,490,564,276,556,42,78,662,16,451,92,520,431,60,763,370,189,611,754,67,463,87,1402,7105,244,12,734,653,70,480,45
159,1212,66,915,420,5385,261,40,57,52,3862,3045,19,140,384,1740,843,282,730,620,644,20,520,214,653,345,795,1602,54,342,672,13,350,79,718,1336,135,862,617,225,600,953,84,730,84,850,8671,265,3,861,494,99,708,32
160,1034,73,637,748,6827,270,59,50,29,4140,2493,22,273,370,2295,491,242,631,639,782,22,414,198,689,557,1348,1307,110,286,389,19,319,170,764,1211,186,954,599,194,664,221,85,750,125,1779,6587,367,3,737,563,88,700,67
161,1047,83,723,563,6107,329,118,76,55,4583,2984,105,246,424,1832,944,341,557,714,922,19,580,280,527,689,894,1401,116,350,556,14,196,202,679,2057,274,1126,749,295,786,209,87,924,127,1344,5734,464,4,863,646,166,769,38
162,1022,69,619,909,6582,356,87,52,60,4713,3124,63,239,249,2293,1044,959,531,652,903,34,670,279,0,825,874,1366,144,234,849,21,323,144,817,2073,232,1069,1081,256,725,703,157,1075,196,2443,6356,466,4,978,522,125,858,56
163,1121,88,996,561,5184,297,0,58,65,4338,2803,0,298,293,2356,1004,746,387,817,0,30,624,450,1426,733,945,1216,160,293,636,21,286,207,701,1781,262,1267,856,289,699,731,144,932,255,527,4103,372,12,1212,511,122,936,19
164,747,66,208,384,5130,260,0,67,56,2992,1868,0,256,191,1893,617,718,416,472,1228,18,579,126,764,717,626,615,53,167,532,15,216,94,663,1491,140,598,568,227,519,319,95,704,143,2431,3689,303,4,894,365,52,490,36
165,828,72,311,328,6222,198,492,47,49,2272,2492,140,177,217,1612,1667,557,712,377,627,19,567,588,878,714,511,540,60,69,409,27,322,73,531,1389,124,811,358,218,567,722,54,572,152,813,4974,251,9,664,607,44,420,24
166,1689,33,859,492,5913,459,29,20,45,2689,2272,77,225,405,1680,831,375,666,682,552,10,377,373,951,409,801,1712,135,406,403,16,331,66,627,1446,229,839,652,236,557,102,82,952,136,644,7480,406,6,1005,349,150,685,31
167,1419,52,186,665,5454,194,180,7,38,3240,2418,136,289,305,2157,941,631,651,675,848,24,440,347,843,529,904,1514,161,390,253,9,274,197,676,1342,238,1059,668,180,520,24,92,614,297,1707,6649,410,5,823,562,106,780,50
168,1424,85,680,740,5324,349,130,7,72,3289,2686,112,321,342,1707,1150,937,557,763,681,21,577,369,863,1154,585,1650,144,426,554,35,268,188,901,2177,333,1226,715,190,635,639,125,513,349,1320,4909,386,9,1121,517,102,907,38
169,1384,116,519,859,5446,430,145,163,57,3838,2485,55,277,262,2434,811,1566,570,794,610,19,601,469,793,850,599,1469,134,357,632,22,359,122,720,1479,310,1279,713,293,866,605,75,1374,328,2329,5487,394,3,1013,659,170,864,41
170,1263,93,629,815,3886,268,0,99,74,3217,2580,0,324,293,1880,1126,2574,343,836,0,55,630,443,839,1016,735,1399,188,420,609,30,250,136,680,1723,374,1210,1097,239,752,562,68,1318,432,1127,5249,461,16,1217,367,180,786,21
171,649,43,374,490,3844,182,0,111,34,2599,1314,0,210,190,1992,882,1081,362,464,1631,17,497,193,551,932,647,738,89,193,447,8,162,105,780,1952,218,1013,669,261,561,298,59,1092,386,1532,3236,451,11,938,270,126,622,36
172,728,36,174,377,6527,201,384,88,33,1896,1620,108,139,221,1668,886,818,741,371,327,15,458,304,499,675,274,605,81,72,320,21,489,69,743,1287,114,870,716,159,703,351,45,678,190,1461,4169,255,8,847,581,217,264,22
173,1422,35,507,280,4329,351,127,108,57,3773,2407,52,190,280,1492,697,628,731,805,693,21,614,355,795,491,634,1903,88,481,405,22,414,108,1331,2209,184,1423,668,233,751,222,86,868,244,1244,5492,298,11,1021,347,175,1009,24
174,1406,65,519,631,5183,244,102,14,28,2402,2072,47,354,296,2128,861,588,708,822,960,22,456,288,648,730,781,1666,182,375,239,12,325,152,782,1216,267,1137,722,129,986,582,69,667,258,1690,5016,422,2,927,489,157,627,45
175,1303,86,1092,993,4611,268,101,106,58,3571,2893,66,221,263,1360,1109,776,593,912,817,50,693,414,774,1038,751,1786,180,350,351,38,367,200,985,1716,362,1407,912,261,1001,195,96,1212,340,1186,4155,508,0,1126,620,212,706,28
176,1087,119,728,1121,5102,368,156,101,51,3198,2234,59,284,269,5594,1034,1017,512,808,826,19,819,212,1053,843,823,1627,148,276,489,21,412,90,1246,2121,344,1329,1017,265,959,43,82,1655,263,1654,6099,517,5,1111,568,191,1538,50
177,1003,87,835,528,4658,334,0,142,52,3656,2373,0,231,281,2806,1082,1129,347,803,0,31,776,437,896,914,539,1505,145,324,390,56,276,146,807,1586,361,1311,1151,255,764,251,80,979,298,1115,4286,436,5,948,312,282,997,17
178,589,94,250,704,3094,285,0,153,41,2564,1786,0,170,190,1403,845,924,355,316,1401,15,512,365,0,707,410,742,100,105,508,23,304,59,742,1099,297,803,422,188,602,41,37,1721,224,2554,2529,391,1,1199,307,181,886,26
179,583,34,198,359,2355,213,0,209,36,1838,658,0,109,74,1381,592,713,368,296,310,19,764,229,1212,638,242,589,52,59,357,29,363,37,558,1039,170,745,615,146,755,842,62,646,194,827,1295,376,3,645,206,138,591,0
180,708,34,81,302,3436,187,417,59,47,1823,1669,94,69,118,1392,387,355,698,260,257,13,356,171,499,383,249,721,65,66,137,18,382,37,1012,833,71,644,836,165,533,129,27,382,105,782,4248,328,3,836,511,90,734,71
181,1341,65,496,395,3134,246,89,0,25,2056,2095,45,103,328,1337,707,469,633,671,1529,22,336,181,961,260,426,2354,87,586,154,23,358,87,629,969,238,1048,879,116,934,3,72,288,171,816,5819,316,2,882,460,116,919,48
182,1103,114,461,408,3786,265,222,160,25,2583,1986,88,177,430,1953,760,425,572,811,465,30,503,402,983,381,517,2117,193,392,288,56,425,161,827,1307,333,1094,774,183,610,772,105,811,267,1146,4526,349,4,1236,519,204,1544,48
183,987,89,521,1133,3985,307,233,95,81,3650,1793,17,175,333,2312,1267,984,555,950,759,28,646,439,1405,467,853,1729,124,363,260,47,520,134,986,1610,241,1272,946,211,1009,302,113,983,288,1999,4954,661,8,1115,491,195,1380,65
184,928,103,605,734,3491,415,0,169,59,3190,2297,0,135,217,2121,1061,803,369,725,0,40,809,553,807,872,445,1625,140,466,414,32,435,98,869,1478,467,1324,1021,291,891,511,103,947,325,1007,2864,576,9,1300,346,345,1469,33
185,623,62,384,514,2847,417,0,125,40,2423,1524,0,117,112,1462,1248,783,498,541,1319,29,577,286,0,723,254,781,96,161,317,44,325,100,716,1220,426,792,698,181,0,288,98,1914,204,1328,2964,633,7,874,194,164,1424,49
186,586,74,213,412,3792,375,569,90,30,1736,1106,64,83,253,1373,738,667,741,344,507,33,536,254,1229,638,144,663,86,92,277,18,405,81,773,948,254,1049,872,147,1410,370,56,828,166,1396,4944,567,12,757,703,165,958,46
187,1102,43,484,737,2844,400,136,203,65,3116,1618,39,68,278,1466,691,417,667,732,382,15,599,313,682,402,505,2219,137,576,226,34,503,81,805,1210,233,962,1095,178,1036,422,93,802,196,1599,5168,566,6,943,363,130,1468,46
188,990,50,698,870,3390,587,135,99,56,2355,2404,47,107,283,1941,582,446,670,779,522,20,643,306,773,462,711,1933,187,499,208,32,419,118,723,1234,269,1056,974,188,810,112,124,662,302,1903,4893,753,0,845,492,226,1496,128
189,907,108,1753,1001,3586,459,220,86,47,3255,1997,32,167,396,2056,839,885,787,618,491,23,631,428,980,909,701,1739,216,551,347,34,593,158,992,1632,390,1033,1038,210,923,583,120,1344,402,1060,5103,918,3,1101,369,237,2079,86
190,825,107,1282,879,4436,605,141,48,62,3204,1983,29,117,470,2223,1041,1075,609,773,1007,38,543,453,778,1085,497,1776,224,508,501,47,592,151,889,1504,507,1138,1254,282,747,817,145,874,396,1825,4811,1125,1,1242,501,247,2531,95
191,852,94,609,1088,3730,606,0,85,50,3573,2470,0,114,288,2529,1081,1200,429,997,0,32,682,598,587,916,655,1605,292,531,323,59,381,162,1033,1239,377,902,1242,257,700,1309,138,924,375,1502,3549,1085,4,953,228,224,2243,33
192,567,108,467,568,2799,501,0,119,53,2521,1226,0,81,244,1402,748,985,518,445,963,42,412,358,0,1296,277,851,136,228,385,27,397,67,883,1335,351,791,1007,202,664,845,113,469,256,2129,2293,927,5,856,304,151,1918,91
193,577,70,233,647,4272,542,497,103,23,1685,1280,73,59,410,1477,524,645,828,382,249,26,412,256,1575,925,192,653,130,88,232,5,480,104,732,800,286,801,1105,194,806,638,43,417,176,1026,3406,627,4,627,732,174,1279,73
194,1113,57,595,623,2937,654,136,96,43,2470,954,43,66,446,1531,601,591,763,830,774,31,344,173,695,480,465,2287,271,793,262,38,537,107,782,1312,264,657,1168,318,781,120,98,770,325,668,4598,655,2,872,317,172,1750,72
195,902,76,439,991,3249,616,155,69,29,2590,1576,45,175,396,1848,713,541,692,802,442,34,385,542,902,678,552,1852,212,635,509,17,457,197,718,1101,473,945,1093,190,870,64,127,899,452,1642,4699,883,1,580,887,150,1852,153
196,809,131,567,1096,3293,548,157,119,56,2541,1479,28,94,491,2257,902,1053,580,654,594,34,503,480,1078,915,737,1948,330,714,390,37,774,237,1043,1836,470,956,1087,362,840,1182,120,1023,471,916,4742,1207,2,902,530,172,2351,136
197,802,126,515,905,4100,709,115,140,57,2847,1588,23,117,523,2805,1176,1221,552,926,727,25,559,487,1040,1179,722,1958,322,607,556,41,617,263,984,1693,434,1147,1281,449,830,1063,125,1197,465,1398,4968,1421,7,941,551,224,2619,115
198,860,119,459,816,3421,584,0,71,52,2795,1470,0,133,539,2441,1147,1132,412,989,0,26,613,568,996,1470,645,1691,343,500,602,36,770,205,1007,1759,495,1101,994,267,885,508,142,1373,589,1343,2394,1025,8,975,332,207,2903,45
199,607,110,411,491,2533,569,0,106,35,1882,878,0,103,205,1604,904,861,348,464,950,27,431,591,0,1075,182,918,200,282,373,51,684,152,894,1290,344,957,826,239,832,891,128,615,415,2119,1531,1076,3,736,293,175,2074,168
200,588,113,273,814,3182,411,560,131,14,738,645,104,91,422,1709,874,953,748,457,246,14,477,429,1329,904,190,761,306,145,463,36,779,141,996,868,259,934,864,174,875,1118,37,569,200,1364,4358,833,3,449,801,227,1918,121
201,1140,124,674,712,3048,535,182,144,36,3266,1109,53,91,511,1362,746,461,598,935,548,34,431,511,1118,808,589,2303,311,787,404,25,410,172,1198,889,418,1031,1029,297,1576,1045,141,1181,263,674,6363,699,4,923,427,142,2445,67
202,822,103,323,951,3254,511,221,84,26,1948,1860,45,126,614,2273,957,651,640,1003,420,48,414,531,1194,687,552,1978,347,599,385,33,679,278,1098,1495,445,1054,984,218,921,288,183,309,399,1187,3836,913,3,755,537,163,2422,127
203,908,138,705,1134,3192,682,192,177,32,2628,1415,62,110,513,2166,1162,1184,619,906,568,40,785,753,998,1069,696,1839,429,605,430,51,783,226,1453,2277,372,1304,1174,353,937,312,186,382,760,1427,3498,1015,3,450,645,163,3013,135
204,833,141,551,967,4025,680,555,152,65,2660,1406,67,90,677,2456,1471,1183,637,1019,841,34,712,760,984,1166,672,1752,355,559,772,217,735,339,1708,1775,476,1481,1194,301,1192,680,165,863,393,1147,4391,1115,13,966,687,273,2779,131
205,864,144,636,753,3151,657,0,191,50,2787,1562,0,139,464,2442,1424,1016,521,1299,0,22,597,671,1275,1422,609,1619,501,584,526,63,863,296,1721,2202,440,1125,1193,348,931,628,184,1708,472,1201,2935,1076,10,1116,365,207,3034,151
206,645,139,355,492,3048,521,0,120,46,1868,916,0,73,262,1453,1092,930,499,628,919,33,471,643,0,1040,321,852,279,325,392,48,639,181,1228,610,416,942,571,259,962,300,140,692,439,1350,2331,1403,7,1067,227,177,1966,139
207,679,195,316,421,3147,461,823,122,28,1415,853,136,52,458,1853,832,628,1090,553,224,23,501,514,1455,973,215,754,212,202,337,35,803,155,1154,2258,312,1071,667,279,964,630,78,578,184,1814,4006,1113,32,687,880,161,1707,125
208,1252,146,864,647,2751,654,121,105,105,2251,1012,65,87,660,1617,974,403,855,1057,547,17,413,494,1152,944,975,2535,500,997,479,51,642,315,1410,1504,502,1316,1369,291,1129,432,171,812,283,2214,4634,721,4,625,484,162,2029,141
209,1060,122,604,816,3485,731,123,86,45,2582,1614,50,113,671,2630,1286,574,917,926,666,43,460,534,1214,912,563,2228,716,860,431,69,647,425,1467,1711,493,1409,1010,294,1294,31,180,736,609,1993,4374,1014,6,509,611,172,2426,129
210,1114,134,863,1277,3636,863,384,134,68,3306,1368,66,106,673,3059,1456,1063,842,868,539,44,761,443,1401,1272,578,2201,614,931,480,78,1426,384,1941,2428,527,1556,1217,482,1421,526,247,1052,535,1841,4786,1512,11,1844,741,241,3321,193
211,1061,189,683,1178,3806,834,290,147,78,2908,1757,55,161,662,3117,1823,1590,765,1001,346,32,734,764,1323,1393,862,2149,722,813,766,92,901,485,1661,2034,656,1835,1530,410,1381,598,269,923,774,1999,4694,1353,8,1114,612,313,3037,243
212,1089,233,894,916,3129,1023,0,174,75,3700,1338,0,74,613,2905,1925,1252,624,989,0,31,636,638,1648,1518,957,2122,718,863,806,122,807,481,1426,2321,588,1334,1539,398,1452,472,198,947,732,1416,3484,1364,11,1256,323,252,2941,120
213,765,250,597,619,2740,819,0,134,66,1870,1233,0,106,365,2727,1577,1108,535,847,1591,25,562,562,0,1440,294,1072,585,378,380,51,923,261,1145,1719,637,1290,769,338,1016,307,183,786,617,1881,2922,1209,11,811,215,171,2751,156
214,746,190,475,660,3008,576,1339,161,38,1533,975,181,44,597,2742,1581,1109,1057,638,81,22,504,759,1932,1171,296,935,423,226,569,65,462,379,1150,1276,472,1459,800,205,1025,563,91,650,361,2946,4061,995,8,854,912,164,2076,191
215,1377,158,684,686,3781,1048,320,107,46,2725,1074,96,64,584,2851,1556,510,929,761,920,25,482,748,1466,1137,713,2789,486,1111,487,71,1260,351,1543,1734,508,1468,1314,313,1829,306,172,829,414,1228,5959,994,10,1235,940,266,3285,162
216,1277,156,901,1089,3452,692,164,71,64,2883,1403,75,104,645,2862,1170,693,963,1322,430,32,575,579,1593,1370,876,2439,599,1137,479,70,1102,577,1309,1926,702,2036,1126,380,1282,976,223,928,876,1542,5909,1152,3,805,757,262,3342,213
217,1125,165,1113,1290,3035,1141,167,97,34,3356,1774,86,94,718,4015,1950,1671,911,1182,1002,23,630,586,2458,1173,1322,2347,723,983,655,77,1050,668,1565,2532,706,2177,1226,365,1546,569,297,1299,797,2310,5817,1509,14,1331,748,275,3952,198
218,1170,221,738,1024,3133,1312,802,166,89,3449,1740,111,93,1094,5103,2292,1076,770,1311,1043,44,781,766,2206,2292,1116,2067,662,916,716,88,975,812,1729,2684,864,2140,1477,410,1683,327,244,1149,793,1419,6055,1507,12,1183,694,494,4123,290
219,1089,210,921,891,2462,1139,0,221,79,4044,1659,0,101,878,3789,2493,1790,554,1291,0,42,798,583,1454,1697,751,1914,638,938,967,111,947,573,1790,2102,744,2212,1199,381,1485,238,291,963,806,1714,4256,1350,11,1114,505,248,4520,151
220,736,211,742,650,3244,933,0,153,36,2539,1270,137,86,510,4406,1612,843,565,810,1541,27,530,729,1454,1722,0,937,588,440,609,69,1203,445,1454,2303,717,1549,799,216,1102,643,299,777,658,2675,2818,1105,11,900,326,289,25,209
221,810,202,748,536,4516,1072,1191,105,25,1707,813,81,39,698,3274,1591,846,1082,640,270,23,497,827,2096,1628,586,820,569,241,582,52,1394,514,1222,1144,659,1874,777,262,1637,657,126,620,567,2627,4405,1177,9,690,952,247,3212,286
222,1536,232,1040,852,5012,1208,434,131,50,3662,1220,130,92,873,3875,1505,627,1152,1297,942,26,590,975,1871,1092,730,2839,703,1297,656,82,1225,594,1299,1578,1029,2013,1480,342,1579,693,313,886,621,2181,5868,1089,10,926,505,169,4536,215
223,1310,224,975,1166,3664,1267,416,50,53,2145,1419,82,81,987,4503,1739,948,965,1452,968,45,492,701,1878,1062,801,2397,619,1106,565,89,1152,819,2061,1842,499,2365,1312,307,1359,187,378,865,587,1955,6701,1373,15,1018,826,231,4688,322
224,1310,239,994,1213,4525,1373,502,155,39,5557,1930,88,107,950,5103,2863,1110,1057,1303,1041,32,743,1047,2204,1562,958,2481,928,1240,789,77,1087,662,1709,2400,887,2440,1634,367,2054,207,475,1130,973,1727,6471,1554,16,1332,727,361,3579,271
225,1354,248,976,1349,6106,1350,679,161,72,3689,2405,85,135,1073,4035,2478,2011,1108,1449,942,41,712,1068,2046,1720,795,2420,863,1079,813,118,1276,791,1786,2716,887,2535,1378,538,2258,1947,523,1066,1185,3174,6765,1974,29,1180,807,272,3899,426
226,1227,357,890,1194,3520,1828,0,162,97,4471,1996,34,93,1021,6381,2753,1111,816,1732,0,43,796,1201,3490,2272,1212,2260,639,1126,1146,126,1744,872,1995,2584,935,2861,1836,391,1711,296,454,793,939,2646,6398,1620,27,1088,547,304,5358,260
227,800,516,1391,804,2792,1689,0,116,61,2385,1425,41,125,650,4283,2162,1701,854,1462,1310,54,792,1075,1940,1683,228,1278,738,484,891,90,1250,823,1589,1807,845,2301,1055,362,1386,1223,334,1339,1062,3591,3536,1778,30,999,472,311,3442,236
228,898,350,801,618,3877,2211,2047,210,45,3377,1036,120,39,697,4950,1981,1214,1626,924,305,44,565,1210,2117,1571,447,1186,621,325,475,69,1757,723,1417,1643,522,2102,665,335,2492,632,191,824,538,3079,6995,1211,10,904,1160,344,3316,436
229,1826,389,1158,961,4938,1433,538,83,94,4298,1612,82,67,882,4221,1990,891,1596,1771,1242,52,897,1258,2675,2165,854,3898,845,1541,730,134,1979,583,2057,2141,889,2537,1014,372,2273,362,383,1080,989,1498,7176,1155,30,1134,593,381,5363,329
230,1677,384,1043,970,4087,1475,490,145,67,4115,1788,48,64,862,6331,2559,1174,1638,1857,610,80,684,1179,3590,1910,1000,3204,620,1672,571,110,1721,657,2085,2253,777,2579,746,420,2331,90,474,914,1270,2432,7346,1587,7,1345,798,330,4099,340
231,1465,370,1315,1082,4271,1806,1319,163,101,4198,1972,83,81,961,6584,3634,2221,1593,1811,531,83,962,1344,4109,2877,970,3507,887,1805,1075,127,1775,1078,2590,2885,1223,3579,1045,565,2235,1211,423,1102,1000,2668,7482,1851,16,1429,860,477,5106,361
232,1299,398,1565,1173,4913,2412,761,201,70,5592,1489,79,96,1064,7164,3177,2225,1656,1937,584,111,927,1580,3345,3163,749,3421,1063,1617,1232,116,2181,1005,2302,2809,1353,3826,1307,596,2499,945,511,1005,1559,2358,7092,2309,19,1456,1103,451,5890,521
233,1201,467,1901,1328,3382,2924,0,203,122,2331,2774,53,71,798,8101,3481,2823,1201,1977,1068,120,967,1428,4018,3009,824,3306,885,1620,977,200,1405,581,1977,2805,1433,2889,1272,532,2230,385,481,1020,1433,2385,7033,1737,24,1551,695,483,5233,270
234,828,359,1527,875,3621,2560,0,178,103,4865,1289,9,87,480,7182,2762,2795,1754,1423,1442,23,864,1129,3566,2206,340,1900,694,853,716,130,1763,742,2177,2057,1127,3480,1354,508,1684,533,481,1413,1332,149,4363,1868,17,1202,481,405,3549,425
235,944,351,666,589,5306,2237,2651,188,69,4651,1014,3,81,757,6424,3090,2394,3010,1028,371,90,850,841,3354,2953,365,1841,757,619,635,106,1906,872,1823,1336,972,3025,1088,549,2743,1511,279,896,526,2472,8648,1206,23,1026,1672,363,3493,444
236,1714,405,1679,886,5235,2562,985,117,86,4637,2037,119,91,1179,6718,2894,1770,2789,1709,1554,192,771,1034,3437,3501,644,5648,907,2500,911,128,2133,1136,2429,2349,1172,4426,1336,482,2868,771,432,1037,1004,1889,8776,1681,18,1261,786,377,5908,452
237,1455,424,815,1305,5286,2928,530,110,77,4423,2755,91,162,1290,7740,3714,1634,2988,1630,505,128,1000,1711,4397,3847,766,4421,796,2314,1068,115,2771,1011,2159,2425,1114,4282,1251,589,2772,77,558,920,937,3003,10601,2126,30,1157,1426,376,6315,425
238,1602,327,2135,1562,6245,3369,1687,222,81,6257,2344,101,104,1265,10137,4431,3120,2873,2268,918,202,1198,1859,6103,3953,1612,5271,1013,2474,1267,245,2193,859,3057,2859,1536,5199,2109,790,2815,396,635,770,1360,2634,9969,2828,36,1366,1376,529,6209,365
239,1812,511,1996,1887,6679,3463,1065,287,110,5245,2802,73,125,1330,10578,4666,5048,2934,2228,1172,170,1541,2110,4246,5468,967,5996,979,2458,1562,204,2298,1284,3241,2908,1765,5239,1885,769,3648,1103,681,1235,1488,1397,9708,3009,23,1568,1661,547,6409,996
240,1672,607,2620,1613,5240,3498,0,227,99,4452,2195,36,134,1403,12438,4919,3133,1886,2156,0,199,1410,2299,6494,4651,1031,5346,1001,2500,1824,229,3127,1277,3416,2676,1602,5818,4524,979,3236,1013,702,1872,1337,3576,6590,2978,21,2103,1061,678,7436,192
241,1192,509,1880,1048,5135,3017,0,350,110,6820,1439,120,134,649,10009,4671,4363,1862,1177,1707,58,1081,1820,4800,5921,804,2927,731,1272,1276,247,2393,1210,3352,2094,1101,4761,0,861,2580,634,584,948,1426,4159,6950,2404,43,1302,1194,605,4479,713
242,1230,459,435,954,7649,3553,3338,310,86,3924,1272,240,66,1266,10573,4152,3368,3869,1729,527,168,1375,1326,4505,3932,516,2399,374,775,960,211,2524,1408,3579,1521,1153,4934,2205,707,4562,694,295,704,909,5361,10800,2264,25,1302,2367,412,4325,700
243,2861,550,3434,1437,8393,3890,1524,207,86,4353,4319,181,82,1201,12623,4849,5100,3514,2079,1793,172,1338,2151,6944,4917,933,8365,1098,3401,1322,220,4551,1258,3957,2582,884,6823,1708,754,4322,384,766,1349,1023,2374,12837,2536,47,1435,1507,583,7410,1232
244,2422,490,2030,1980,6118,3975,1754,234,206,5838,2242,101,123,1693,12657,5057,3903,3173,2698,0,142,1714,2656,6620,4904,1256,6781,919,2831,1107,229,2872,1487,4611,3119,1031,6158,2185,861,4098,300,995,1259,1362,3013,13259,2352,73,1594,720,891,7556,132
245,2375,475,1399,1826,9203,5197,1158,207,128,5607,2982,95,102,1158,12702,6618,5039,3171,2336,2975,193,1477,2644,7311,7236,1271,5753,961,2746,1469,322,4005,1742,5057,2893,1800,7459,2366,1109,6023,2118,1038,1498,2020,3897,10930,3948,116,1521,2917,673,8190,1105
246,2333,615,3015,2333,10116,6439,2746,477,159,6933,2994,74,115,1519,15415,5624,4413,2753,3164,3592,244,1869,2902,9179,5561,1305,5745,1213,2632,1857,459,3484,1230,5472,1779,1429,8447,2677,1058,5834,873,792,1614,1611,3126,13093,4082,92,1235,2539,917,8520,862
247,2057,755,3476,1865,7785,5196,0,385,148,4544,3035,41,112,1519,11028,8357,5451,1741,3293,0,152,2321,3042,7430,8698,1370,5280,1642,2393,2269,382,4344,1165,5162,3885,2270,8088,2858,1081,4395,970,1084,1915,1855,4347,9283,3476,100,1537,1220,1088,5598,540
248,1414,626,2383,882,8861,4183,0,415,163,10105,2084,156,0,928,10631,6738,4641,1915,1449,2604,153,1840,2130,6781,7557,969,2490,1272,1155,1177,360,4344,1030,3627,3117,924,8233,3938,862,4647,1200,765,1496,1199,4872,7806,2687,46,1161,1880,807,6244,613
249,1375,559,1476,1320,11263,4296,4639,403,87,4663,1247,54,99,1099,11632,5168,3840,3792,1511,562,173,1726,2161,6381,7440,589,2200,869,825,1914,358,3678,1253,4063,1972,1089,7620,2739,766,6214,929,507,1112,897,6433,12499,1986,119,2677,3362,919,4500,699
250,3119,641,2984,1568,10629,4331,1702,357,245,7459,4335,59,55,1781,12601,5486,3209,3357,2911,2701,246,2149,2521,7886,5944,905,7150,1371,3045,1697,274,4433,2105,5167,3288,1082,7422,1557,924,5721,761,669,1285,1006,4632,11294,3201,96,2125,2217,749,7607,1260
251,2615,577,3206,1731,11891,4650,2042,206,156,7925,3161,112,72,1310,8922,6039,3039,3144,2745,2292,156,2018,2900,6218,5116,1593,5854,1184,2496,1665,446,3956,2892,5364,3367,1263,6694,3028,1099,6486,655,1404,1550,1387,3496,14112,3094,57,2071,1680,920,8477,822
252,2525,542,4123,2259,13083,6107,2353,404,213,9085,3424,70,112,1543,14612,7312,4173,2974,3637,2110,215,2910,2678,7983,7884,1395,5212,1236,2351,2416,528,5091,3665,5753,4296,1382,8164,2926,1204,6881,621,1013,1715,1071,4014,15719,3997,149,1954,2507,1228,7452,894
253,2480,475,4471,2080,13822,5765,2088,673,130,9085,3439,36,100,1786,13012,6837,4113,2643,3816,2209,224,2353,2395,10140,6802,1638,5220,1475,2162,1839,520,4317,2982,5501,3688,1404,9234,2932,1302,7028,1233,1037,2003,1328,2989,14483,4622,149,2544,2316,1010,7156,960
254,2228,672,3638,1922,13342,6113,0,513,153,8409,6209,24,170,1070,11891,6901,4252,1522,3702,0,165,2885,3201,7840,6257,1972,4871,1249,2003,2019,484,4056,2342,5566,3415,1524,8244,3677,1493,5874,1403,1288,1859,1144,4018,11309,3420,87,2348,1386,1096,6933,281
255,1493,523,4331,1364,8738,3921,0,494,190,6587,2328,73,128,819,10012,6200,3700,1445,2192,3489,236,2168,2691,6188,7207,779,2436,1138,1101,2155,317,3720,2456,5227,4514,1143,8527,3419,1502,6541,1841,743,1279,851,3406,8924,3221,83,2117,1638,839,3989,759
256,1600,506,2659,1026,17979,3689,5271,409,139,6331,1924,53,118,1437,8322,5580,2862,3626,2132,970,185,1658,1770,5755,6345,699,2136,701,619,2339,444,5129,2252,6321,2419,714,12460,3557,1163,6462,1182,457,1259,783,5529,12090,2261,85,3242,5566,661,3361,1262
257,3331,604,4544,2141,16796,4150,540,460,119,8555,3676,53,63,1640,9469,5649,2702,2911,2606,3249,255,1667,2572,6782,6435,665,6559,1123,2589,2853,340,5235,2099,5478,3100,1004,9020,2746,1000,6365,452,904,1680,1011,2198,20556,2721,48,2544,2492,996,6820,528
258,2900,701,3982,1983,13977,4191,1872,336,107,8376,3177,50,113,1773,11378,6007,2909,2365,3301,1237,228,2697,3390,4687,6412,1092,5043,1061,2107,3159,394,4242,1855,5996,4212,1077,11359,3746,1170,6956,209,951,1677,1283,2043,15261,1794,65,2718,3207,1079,6055,802
259,2736,635,3476,2370,10182,6053,0,594,220,10670,3608,43,123,551,12022,6400,3462,1066,3869,0,238,2319,0,8787,5724,1746,4404,1117,2087,2542,0,3829,1694,6807,4174,964,8945,3237,1503,7427,644,1210,0,0,2172,4610,3857,79,2600,1099,1061,5608,0
260,720,723,4312,1062,16036,4270,3429,601,201,6674,3009,20,94,1446,7574,5667,3189,1938,1747,4973,0,2378,4651,8581,4503,1005,897,114,244,1536,537,5087,2056,8005,3834,790,8946,3141,826,8362,2070,415,2218,2138,5263,4766,2330,99,1544,3008,949,1419,1012
